 train       observed       predicted
 y     1.156173E+01     1.116899E+01
 y     1.237582E+01     1.254608E+01
 y     1.201371E+01     1.187678E+01
 y     1.204421E+01     1.189820E+01
 y     1.204356E+01     1.221483E+01
 y     1.051870E+01     1.110959E+01
 y     1.125157E+01     1.188172E+01
 y     1.515707E+01     1.459472E+01
 y     1.321768E+01     1.313000E+01
 y     1.046313E+01     1.137149E+01
 y     1.102028E+01     1.127043E+01
 y     1.310624E+01     1.265234E+01
 y     1.272517E+01     1.271435E+01
 y     1.173608E+01     1.181081E+01
 y     1.177530E+01     1.188531E+01
 y     1.057755E+01     1.067972E+01
 y     1.397678E+01     1.359785E+01
 y     1.136211E+01     1.173555E+01
 y     1.359237E+01     1.270334E+01
 y     1.198917E+01     1.192590E+01
 y     1.257729E+01     1.250190E+01
 y     1.216003E+01     1.218505E+01
 y     1.184940E+01     1.168541E+01
 y     1.327937E+01     1.310630E+01
 y     1.191840E+01     1.199694E+01
 y     1.094555E+01     1.120648E+01
 y     1.346737E+01     1.289886E+01
 y     1.260149E+01     1.262729E+01
 y     1.249126E+01     1.198902E+01
 y     1.235450E+01     1.227536E+01
 y     1.250618E+01     1.282697E+01
 y     1.156173E+01     1.176818E+01
