 train         node      observed        predicted
     y          245    0.119512E+002    0.114754E+002
     y          246    0.123014E+002    0.121071E+002
     y          298    0.124875E+002    0.125154E+002
     y          302    0.117414E+002    0.122655E+002
     y          302    0.107893E+002    0.114974E+002
     y          299    0.128571E+002    0.132284E+002
     y          297    0.109508E+002    0.118736E+002
     y          303    0.129404E+002    0.128737E+002
     y          511    0.132464E+002    0.122226E+002
     y          302    0.124490E+002    0.127317E+002
     y          303    0.116138E+002    0.123627E+002
     y          303    0.136529E+002    0.130162E+002
     y           62    0.112898E+002    0.115966E+002
     y          511    0.127717E+002    0.125896E+002
     y          147    0.132159E+002    0.132857E+002
     y          302    0.119184E+002    0.116387E+002
     y          245    0.117753E+002    0.116729E+002
     y          303    0.122501E+002    0.126478E+002
     y           28    0.115129E+002    0.114100E+002
     y          511    0.132067E+002    0.135285E+002
     y          245    0.117753E+002    0.114520E+002
     y          511    0.125776E+002    0.123830E+002
     y          511    0.128739E+002    0.123095E+002
     y          302    0.125245E+002    0.124057E+002
     y          302    0.121076E+002    0.112360E+002
     y          299    0.125154E+002    0.120039E+002
     y          298    0.124684E+002    0.125233E+002
     y           72    0.132656E+002    0.128273E+002
     y          303    0.125655E+002    0.127151E+002
     y          303    0.124987E+002    0.123967E+002
     y          303    0.127426E+002    0.127018E+002
     y          302    0.134298E+002    0.129079E+002
     y          303    0.123239E+002    0.123492E+002
     y          506    0.125742E+002    0.120199E+002
     y           28    0.115129E+002    0.110571E+002
     y          299    0.119447E+002    0.120897E+002
     y          296    0.103735E+002    0.990087E+001
     y          245    0.123673E+002    0.118541E+002
     y          302    0.118914E+002    0.121233E+002
     y          511    0.121808E+002    0.122601E+002
     y          302    0.124161E+002    0.122092E+002
     y          303    0.123149E+002    0.124299E+002
     y          299    0.126182E+002    0.117946E+002
     y          245    0.114511E+002    0.116272E+002
     y          303    0.123545E+002    0.122841E+002
     y          511    0.122308E+002    0.123283E+002
     y          146    0.128675E+002    0.128895E+002
     y           27    0.117724E+002    0.119437E+002
     y          302    0.117520E+002    0.122820E+002
     y          247    0.118480E+002    0.113647E+002
     y          511    0.127799E+002    0.124329E+002
     y          511    0.131673E+002    0.127032E+002
     y          299    0.124837E+002    0.125069E+002
     y          298    0.123967E+002    0.123752E+002
     y          511    0.117906E+002    0.120013E+002
     y          299    0.138402E+002    0.130271E+002
     y          303    0.124252E+002    0.126522E+002
     y          150    0.108297E+002    0.106135E+002
     y          303    0.135008E+002    0.125977E+002
     y          247    0.121007E+002    0.117429E+002
     y          150    0.111563E+002    0.983406E+001
     y          299    0.126149E+002    0.116324E+002
     y          150    0.119512E+002    0.119886E+002
     y          303    0.134372E+002    0.128119E+002
     y          296    0.122011E+002    0.122804E+002
     y          296    0.995755E+001    0.110010E+002
     y          245    0.115376E+002    0.117004E+002
     y          511    0.119083E+002    0.113894E+002
     y          298    0.123673E+002    0.125128E+002
     y          302    0.124090E+002    0.118190E+002
     y          303    0.130584E+002    0.130807E+002
     y          244    0.109151E+002    0.111325E+002
     y          298    0.122784E+002    0.128315E+002
     y          146    0.141767E+002    0.142807E+002
     y          299    0.122945E+002    0.122114E+002
     y          303    0.137046E+002    0.127616E+002
     y          298    0.122784E+002    0.123848E+002
     y          296    0.109151E+002    0.109522E+002
     y          511    0.128992E+002    0.126076E+002
     y          511    0.128213E+002    0.125866E+002
     y          299    0.127338E+002    0.115886E+002
     y          303    0.118494E+002    0.116899E+002
     y          303    0.131712E+002    0.127730E+002
     y          511    0.122356E+002    0.124000E+002
     y          303    0.117943E+002    0.122155E+002
     y          303    0.114076E+002    0.116659E+002
